ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
HCC,"Warrior Met Coal, Inc.",NYQ,USD,103.27,5452871680.0,69264635.0,2017-04-13,111.42,2026-09-04,Yahoo Finance screener via yfinance
NJR,New Jersey Resources Corporation,NYQ,USD,53.72,5450857984.0,36769728.0,1980-03-17,60.86,2026-09-04,Yahoo Finance screener via yfinance
SHC,Sotera Health Company,NMS,USD,19.03,5430682112.0,52830439.0,2020-11-20,19.85,2026-09-04,Yahoo Finance screener via yfinance
MAIN,Main Street Capital Corporation,NYQ,USD,58.07,5430036480.0,35545170.0,2007-10-09,67.34,2026-09-04,Yahoo Finance screener via yfinance
CMBT,Cmb.Tech NV,NYQ,USD,18.7,5426174976.0,19711782.0,2015-01-26,19.04,2026-09-04,Yahoo Finance screener via yfinance
GXO,"GXO Logistics, Inc.",NYQ,USD,47.18,5410818560.0,66765220.0,2021-07-22,66.85,2026-09-04,Yahoo Finance screener via yfinance
BULL,Webull Corporation,NCM,USD,10.0,5396204032.0,127217870.0,2022-08-22,16.04,2026-09-04,Yahoo Finance screener via yfinance
MXL,"MaxLinear, Inc.",NMS,USD,59.45,5391710208.0,201801360.0,2010-03-24,128.3,2026-09-04,Yahoo Finance screener via yfinance
MMYT,MakeMyTrip Limited,NMS,USD,57.13,5373571584.0,50932880.0,2010-08-12,103.24,2026-09-04,Yahoo Finance screener via yfinance
ZGN,Ermenegildo Zegna N.V.,NYQ,USD,12.65,5361965056.0,15127642.0,2021-12-20,15.95,2026-09-04,Yahoo Finance screener via yfinance
PSMT,"PriceSmart, Inc.",NMS,USD,173.72,5361090048.0,50556342.0,1997-09-02,199.84,2026-09-04,Yahoo Finance screener via yfinance
KRG,Kite Realty Group Trust,NYQ,USD,26.09,5353577472.0,67027297.0,2004-08-12,29.92,2026-09-04,Yahoo Finance screener via yfinance
PI,"Impinj, Inc.",NMS,USD,175.11,5350383104.0,72504996.0,2016-07-21,247.064,2026-09-04,Yahoo Finance screener via yfinance
SEI,"Solaris Energy Infrastructure, Inc.",NYQ,USD,53.17,5350303232.0,153574420.0,2017-05-12,86.19,2026-09-04,Yahoo Finance screener via yfinance
MUR,Murphy Oil Corporation,NYQ,USD,37.32,5349806080.0,66672217.0,1980-03-17,43.34,2026-09-04,Yahoo Finance screener via yfinance
SBRA,"Sabra Health Care REIT, Inc.",NMS,USD,20.93,5346835456.0,63452560.0,2002-04-02,22.77,2026-09-04,Yahoo Finance screener via yfinance
KNT.TO,K92 Mining Inc.,TOR,CAD,29.99,5343486890.0,15757733.0,2011-01-10,33.45,2026-09-04,Yahoo Finance screener via yfinance
VRNS,"Varonis Systems, Inc.",NMS,USD,46.51,5342160896.0,92075289.0,2014-02-28,63.9,2026-09-04,Yahoo Finance screener via yfinance
ACIW,"ACI Worldwide, Inc.",NMS,USD,52.91,5341541888.0,55507405.0,1995-02-24,61.08,2026-09-04,Yahoo Finance screener via yfinance
XMTR,"Xometry, Inc.",NMS,USD,93.04,5333385216.0,68427571.0,2021-06-30,106.08,2026-09-04,Yahoo Finance screener via yfinance
CAKE,The Cheesecake Factory Incorporated,NMS,USD,107.18,5333344768.0,179668192.0,1992-09-18,118.46,2026-09-04,Yahoo Finance screener via yfinance
GVA,Granite Construction Incorporated,NYQ,USD,119.48,5308125184.0,102067224.0,1990-04-20,162.08,2026-09-04,Yahoo Finance screener via yfinance
GLNG,Golar LNG Limited,NMS,USD,51.99,5308023296.0,64495155.0,2003-07-15,57.79,2026-09-04,Yahoo Finance screener via yfinance
SAIC,Science Applications International Corporation,NMS,USD,126.5,5300050944.0,65354580.0,2013-09-16,142.66,2026-09-04,Yahoo Finance screener via yfinance
MMSI,"Merit Medical Systems, Inc.",NMS,USD,88.57,5288551936.0,79174229.0,1990-05-14,94.75,2026-09-04,Yahoo Finance screener via yfinance
