ticker,close,date
DRI,212.15,2026-09-21
DRS,38.12,2026-09-21
DRVN,12.16,2026-09-21
DSGX,78.88,2026-09-21
DT,56.02,2026-09-21
DTE,126.565,2026-09-21
DTM,124.85,2026-09-21
DUK,117.49,2026-09-21
DUOL,151.14,2026-09-21
DV,13.445,2026-09-21
DVA,183.16,2026-09-21
DVN,47.15,2026-09-21
DXCM,88.59,2026-09-21
DXPE,187.87,2026-09-21
DY,294.62,2026-09-21
E,54.2,2026-09-21
EAT,200.77,2026-09-21
EBAY,108.5,2026-09-21
EC,17.015,2026-09-21
ECHO,95.57,2026-09-21
ECL,270.18,2026-09-21
ECO,82.0101,2026-09-21
ED,104.68,2026-09-21
EDV.TO,87.47,2026-09-21
EEFT,65.8,2026-09-21
EFN.TO,25.17,2026-09-21
EFR.TO,17.13,2026-09-21
EFX,159.17,2026-09-21
EFX.TO,31.425,2026-09-21
EGO,42.63,2026-09-21
EGP,202.46,2026-09-21
EHC,122.93,2026-09-21
EIF.TO,118.59,2026-09-21
EIX,55.45,2026-09-21
EL,94.88,2026-09-21
ELAN,22.43,2026-09-21
ELF,97.235,2026-09-21
ELS,60.39,2026-09-21
ELV,407.2434,2026-09-21
EMA.TO,68.91,2026-09-21
EMBJ,76.63,2026-09-21
EME,761.13,2026-09-21
EMN,65.34,2026-09-21
EMR,151.77,2026-09-21
ENB.TO,68.16,2026-09-21
ENLT,75.846,2026-09-21
ENPH,34.55,2026-09-21
ENS,179.1625,2026-09-21
ENSG,174.63,2026-09-21
ENTG,142.72,2026-09-21
EOG,140.93,2026-09-21
EPAM,114.1,2026-09-21
EPD,38.755,2026-09-21
EPR,57.44,2026-09-21
EPRT,26.99,2026-09-21
EQIX,1052.49,2026-09-21
EQNR,42.635,2026-09-21
EQT,49.435,2026-09-21
EQX.TO,17.06,2026-09-21
ERIC,10.215,2026-09-21
ERO,34.23,2026-09-21
ES,67.33,2026-09-21
ESAB,66.985,2026-09-21
ESE,263.74,2026-09-21
ESI,33.365,2026-09-21
ESLT,750.59,2026-09-21
ESS,270.975,2026-09-21
ESTA,68.99,2026-09-21
ESTC,88.74,2026-09-21
ET,20.82,2026-09-21
ETN,437.66,2026-09-21
ETR,101.735,2026-09-21
ETSY,72.885,2026-09-21
EVRG,79.55,2026-09-21
EW,88.285,2026-09-21
EXC,42.125,2026-09-21
EXE,86.48,2026-09-21
EXE.TO,30.95,2026-09-21
EXEL,57.37,2026-09-21
EXK,10.04,2026-09-21
EXLS,35.2,2026-09-21
EXP,179.345,2026-09-21
EXPD,191.31,2026-09-21
EXPE,281.25,2026-09-21
EXPO,67.58,2026-09-21
EXTR,22.2,2026-09-21
F,13.21,2026-09-21
FA,20.61,2026-09-21
FANG,187.79,2026-09-21
FAST,49.325,2026-09-21
FBIN,39.78,2026-09-21
FCN,141.445,2026-09-21
FCPT,22.72,2026-09-21
FCX,72.04,2026-09-21
FDX,291.99,2026-09-21
FE,45.175,2026-09-21
FELE,96.0,2026-09-21
FER,55.872,2026-09-21
FERG,216.66,2026-09-21
FFIV,439.675,2026-09-21
FICO,931.22,2026-09-21
FIGS,13.05,2026-09-21
FIS,35.66,2026-09-21
FISV,46.43,2026-09-21
FIVE,239.85,2026-09-21
FIVN,35.2825,2026-09-21
FIX,1641.155,2026-09-21
FIZZ,31.3675,2026-09-21
FLEX,111.11,2026-09-21
FLR,55.325,2026-09-21
FLS,74.75,2026-09-21
FLUT,87.41,2026-09-21
FLYW,17.32,2026-09-21
FM.TO,44.87,2026-09-21
FMS,22.265,2026-09-21
FMX,119.6287,2026-09-21
FN,402.37,2026-09-21
FND,47.87,2026-09-21
FNV,262.715,2026-09-21
FORM,118.975,2026-09-21
FOUR,39.52,2026-09-21
FOXA,65.115,2026-09-21
FR,61.76,2026-09-21
FRO,49.86,2026-09-21
FROG,93.05,2026-09-21
FRPT,62.8,2026-09-21
FRSH,12.29,2026-09-21
FRT,110.32,2026-09-21
FSLR,199.0,2026-09-21
FSLY,27.42,2026-09-21
FSM,11.72,2026-09-21
FSS,114.9501,2026-09-21
FSV,132.55,2026-09-21
FTAI,195.225,2026-09-21
FTDR,79.3,2026-09-21
FTI,70.895,2026-09-21
FTNT,174.22,2026-09-21
FTS.TO,75.59,2026-09-21
FTT.TO,97.66,2026-09-21
FTV,55.37,2026-09-21
FUL,49.78,2026-09-21
FWONK,95.85,2026-09-21
G,34.07,2026-09-21
GAP,21.15,2026-09-21
GATX,180.98,2026-09-21
GBTG,9.47,2026-09-21
GD,354.605,2026-09-21
GDDY,103.86,2026-09-21
GEF,84.18,2026-09-21
GEHC,64.665,2026-09-21
GEI.TO,31.5,2026-09-21
GEN,29.355,2026-09-21
GENI,5.735,2026-09-21
GEO,30.44,2026-09-21
GFF,94.975,2026-09-21
GFI,41.9,2026-09-21
GFL,42.47,2026-09-21
GFS,48.29,2026-09-21
GGB,5.0101,2026-09-21
